<<<<<<< HEAD
timestamp,machine_id,temperature,vibration,pressure,current,voltage,rpm,humidity,load,failure_status
2025-01-01 00:00:00,M_004,56.13,1.6252,91.15,18.6,217.88,1535.69,35.31,63.77,0
2025-01-01 00:05:00,M_005,58.07,1.4023,101.15,19.73,216.83,1456.18,52.02,52.73,0
2025-01-01 00:10:00,M_003,71.96,1.9257,100.87,16.57,224.02,1451.7,45.31,68.58,0
2025-01-01 00:15:00,M_005,56.16,1.6596,103.02,18.29,216.47,1523.38,63.26,57.08,0
2025-01-01 00:20:00,M_005,59.61,1.5374,113.18,17.24,211.66,1576.28,36.36,68.55,0
2025-01-01 00:25:00,M_002,57.72,1.6185,97.32,21.0,220.72,1469.72,42.74,79.2,0
2025-01-01 00:30:00,M_003,54.8,1.3854,96.74,18.17,221.43,1490.92,41.37,80.87,0
2025-01-01 00:35:00,M_003,62.11,1.1281,102.35,17.39,229.62,1526.28,24.47,74.98,0
2025-01-01 00:40:00,M_003,60.18,1.7883,109.13,18.97,220.17,1477.72,45.03,90.58,0
2025-01-01 00:45:00,M_005,64.56,1.4787,103.36,21.51,213.37,1524.28,46.21,87.24,0
2025-01-01 00:50:00,M_004,64.05,0.9723,98.29,19.95,226.1,1452.42,38.67,59.33,0
2025-01-01 00:55:00,M_003,64.5,1.6522,104.92,22.2,219.75,1521.76,24.11,70.69,0
2025-01-01 01:00:00,M_005,55.41,1.5123,108.97,21.9,219.2,1488.41,53.92,83.77,0
2025-01-01 01:05:00,M_002,63.2,2.0099,96.16,18.5,214.18,1420.14,62.15,78.37,0
2025-01-01 01:10:00,M_004,63.33,1.5806,95.0,20.27,222.55,1448.44,57.51,82.26,0
2025-01-01 01:15:00,M_002,54.89,1.1457,100.28,36.64,244.52,1516.4,45.34,71.51,1
2025-01-01 01:20:00,M_004,58.41,0.963,101.51,19.03,220.4,1567.79,43.62,45.28,0
2025-01-01 01:25:00,M_005,52.72,1.8793,106.92,20.48,224.69,1434.45,57.33,82.51,0
2025-01-01 01:30:00,M_001,63.35,1.4809,57.73,18.2,225.29,1550.91,57.19,74.15,1
2025-01-01 01:35:00,M_004,63.33,1.2403,102.01,19.55,221.6,1520.8,46.93,61.9,0
2025-01-01 01:40:00,M_002,67.15,1.2841,107.78,19.48,222.69,1547.98,45.76,67.02,0
2025-01-01 01:45:00,M_005,58.86,1.8895,101.12,21.25,221.73,1492.3,51.53,73.82,0
2025-01-01 01:50:00,M_004,62.26,1.6415,98.02,19.23,228.36,1531.52,46.93,56.24,0
2025-01-01 01:55:00,M_001,64.94,1.8292,102.85,20.43,215.47,1592.48,58.44,86.31,0
2025-01-01 02:00:00,M_001,56.23,1.5736,98.35,20.76,214.57,1509.54,50.68,66.88,0
2025-01-01 02:05:00,M_003,55.47,1.249,101.69,18.42,214.06,1451.1,52.12,60.04,0
2025-01-01 02:10:00,M_003,56.39,2.036,99.07,19.2,222.59,1572.49,51.68,88.21,0
2025-01-01 02:15:00,M_002,58.25,3.7986,99.28,20.93,219.43,1352.29,44.12,58.14,1
2025-01-01 02:20:00,M_004,55.65,1.7413,97.99,23.68,214.47,1512.24,63.05,63.52,0
2025-01-01 02:25:00,M_004,56.6,1.8253,97.13,17.49,219.03,1589.48,44.17,71.58,0
2025-01-01 02:30:00,M_003,64.4,1.5019,104.97,21.05,230.79,1570.36,43.24,70.36,0
2025-01-01 02:35:00,M_004,59.52,1.166,100.95,22.43,222.14,1523.98,42.5,68.78,0
2025-01-01 02:40:00,M_004,61.53,1.2966,106.37,20.19,227.37,1454.81,62.94,72.45,0
2025-01-01 02:45:00,M_001,57.25,1.7032,88.75,18.19,213.48,1481.61,28.28,67.25,0
2025-01-01 02:50:00,M_003,56.92,1.6601,97.4,19.9,221.46,1509.54,38.91,61.54,0
2025-01-01 02:55:00,M_005,61.43,5.4301,96.3,18.07,222.56,1251.82,52.18,95.13,1
2025-01-01 03:00:00,M_003,60.63,1.8418,98.73,18.99,223.46,1476.31,48.56,89.94,0
2025-01-01 03:05:00,M_005,63.89,1.2141,94.84,20.77,218.73,1490.31,47.51,65.38,0
2025-01-01 03:10:00,M_001,96.1,2.8291,91.96,19.88,224.93,1552.56,49.44,62.05,1
2025-01-01 03:15:00,M_002,56.54,1.1921,103.36,20.39,222.46,1510.34,56.54,76.19,0
2025-01-01 03:20:00,M_004,64.31,1.6784,97.03,17.66,220.44,1476.48,47.36,72.1,0
2025-01-01 03:25:00,M_001,54.6,2.2264,102.78,18.78,217.86,1532.9,46.94,44.19,0
2025-01-01 03:30:00,M_004,70.37,1.5937,94.11,21.23,212.57,1528.03,58.38,63.81,0
2025-01-01 03:35:00,M_002,56.07,0.9664,91.82,16.65,210.42,1498.18,47.38,47.76,0
2025-01-01 03:40:00,M_002,63.45,1.4022,101.21,17.35,216.63,1444.55,52.37,63.77,0
2025-01-01 03:45:00,M_001,54.56,2.1525,103.16,19.39,219.23,1494.0,19.14,76.87,0
2025-01-01 03:50:00,M_002,59.24,1.4379,96.92,18.97,216.62,1499.48,40.7,73.1,0
2025-01-01 03:55:00,M_005,67.73,1.8981,94.91,21.54,221.72,1544.08,38.08,49.76,0
2025-01-01 04:00:00,M_002,55.91,1.213,106.25,15.21,224.11,1464.23,37.73,66.83,0
2025-01-01 04:05:00,M_004,71.02,1.3933,99.71,19.84,213.75,1486.17,41.55,73.92,0
2025-01-01 04:10:00,M_004,59.97,1.4353,95.01,22.74,222.75,1576.9,41.26,80.63,0
2025-01-01 04:15:00,M_004,64.88,2.0853,92.51,20.65,219.87,1488.1,53.89,70.7,0
2025-01-01 04:20:00,M_004,62.01,1.4082,96.56,16.93,211.38,1498.57,37.5,73.34,0
2025-01-01 04:25:00,M_005,98.45,1.5982,98.03,24.86,224.54,1591.3,54.53,64.15,1
2025-01-01 04:30:00,M_003,67.78,2.2146,103.81,18.91,215.32,1060.44,52.73,96.95,1
2025-01-01 04:35:00,M_001,57.64,1.5682,99.92,15.13,232.85,1565.81,34.48,64.89,0
2025-01-01 04:40:00,M_004,65.98,1.6964,99.32,21.62,225.84,1480.88,30.57,70.17,0
2025-01-01 04:45:00,M_002,91.18,2.4937,95.42,18.38,219.29,1510.86,42.08,54.0,1
2025-01-01 04:50:00,M_004,60.69,1.5773,106.9,23.74,219.99,1514.62,56.58,57.47,0
2025-01-01 04:55:00,M_002,52.26,6.2139,104.88,21.44,213.04,1357.51,48.09,74.24,1
2025-01-01 05:00:00,M_002,57.31,1.2101,104.48,24.26,228.78,1452.93,63.2,68.8,0
2025-01-01 05:05:00,M_004,65.62,1.7004,99.7,17.89,215.75,1466.97,30.84,60.15,0
2025-01-01 05:10:00,M_005,53.59,0.9881,102.01,22.56,220.21,1489.82,32.33,70.6,0
2025-01-01 05:15:00,M_002,63.59,1.208,87.12,18.37,216.79,1460.91,33.75,63.15,0
2025-01-01 05:20:00,M_002,60.89,1.8636,101.01,20.69,222.31,1499.74,52.1,73.56,0
2025-01-01 05:25:00,M_004,58.82,1.2822,109.61,20.34,219.9,1462.08,51.84,71.46,0
2025-01-01 05:30:00,M_002,58.6,1.352,97.1,22.77,216.87,1455.08,50.03,67.92,0
2025-01-01 05:35:00,M_002,57.54,1.527,95.07,21.62,222.32,1420.84,47.89,58.89,0
2025-01-01 05:40:00,M_004,57.99,1.3884,99.29,19.07,227.52,1584.23,59.86,61.78,0
2025-01-01 05:45:00,M_004,64.65,1.7073,95.69,22.18,220.24,1495.08,44.73,62.91,0
2025-01-01 05:50:00,M_001,57.84,1.5528,95.38,19.82,209.05,1466.31,56.47,58.41,0
2025-01-01 05:55:00,M_005,69.04,1.048,101.33,21.39,221.88,1451.01,67.79,70.63,0
2025-01-01 06:00:00,M_005,61.5,1.2795,104.12,20.59,212.62,1472.73,38.44,72.54,0
2025-01-01 06:05:00,M_002,57.12,1.2471,101.37,19.57,213.15,1406.84,40.41,80.84,0
2025-01-01 06:10:00,M_005,64.87,1.361,94.27,17.35,212.63,1469.97,25.9,68.79,0
2025-01-01 06:15:00,M_002,63.12,1.5336,96.65,20.41,223.53,1535.43,51.94,70.42,0
2025-01-01 06:20:00,M_001,51.73,1.5919,101.61,18.65,212.74,1467.69,41.8,62.1,0
2025-01-01 06:25:00,M_004,54.83,0.7896,103.29,17.54,224.94,1530.89,44.24,67.59,0
2025-01-01 06:30:00,M_004,59.42,1.8075,98.96,21.66,224.05,1545.8,65.19,73.9,0
2025-01-01 06:35:00,M_004,52.08,1.4727,95.53,18.74,215.69,1532.19,51.28,69.1,0
2025-01-01 06:40:00,M_005,70.45,1.1639,103.87,16.39,222.4,1501.71,36.59,92.07,0
2025-01-01 06:45:00,M_001,64.11,1.7857,109.06,20.0,225.89,1558.75,41.22,61.27,0
2025-01-01 06:50:00,M_005,59.93,0.8683,105.62,19.7,217.09,1556.2,37.84,53.14,0
2025-01-01 06:55:00,M_005,58.29,1.0273,109.92,19.88,226.16,1464.66,48.93,61.65,0
2025-01-01 07:00:00,M_001,57.0,2.1387,96.89,19.87,220.84,1456.7,46.92,85.58,0
2025-01-01 07:05:00,M_001,50.18,1.5439,105.16,17.99,216.55,1477.96,58.21,84.28,0
2025-01-01 07:10:00,M_001,51.34,1.2788,106.44,19.2,224.13,1484.46,48.59,66.85,0
2025-01-01 07:15:00,M_001,69.51,1.5325,97.56,22.08,216.37,1558.59,42.63,70.77,0
2025-01-01 07:20:00,M_004,67.87,1.4455,95.87,21.71,226.93,1539.92,47.95,80.67,0
2025-01-01 07:25:00,M_003,57.12,1.5107,95.19,19.29,214.24,1506.76,34.55,81.92,0
